Facility Name,District,Amount Paid,Claim Month,Payment Date
ABOUNTEM CHPS COMPOUND,BOSOMTWE-ATWIMA,2028.37,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABOURSO CHPS,FANTEAKWA,1365.78,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ABRAFI MEMORIAL HOSPITAL,MANHYIA,67417.94,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ABREM ESSIAM CHPS COMPOUND,KEEA,15596.79,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABROKYIRE KROBO CHPS ZONE,WASSA AMENFI E,427.89,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
ABRONYE CHPS,SUNYANI W,4315.38,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUAKWAA HEALTH CENTRE,AMANSIE CENT,59448.81,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABUENU CHPS ZONE,ABURA-ASEBU-KWA,2641.31,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ABUOKROM CHPS,JAMAN S,11707.71,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABUOKROM CHPS,JAMAN S,9866.49,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABUOM HEALTH CENTRE,ASUNAFO SOUTH,26492.31,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABURA HEALTH CENTRE,AHANTAMAN,15730.2,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABURANSA CHPS ZONE,KEEA,7001.53,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA AGOVE HEALTH CENTRE,HO,7899.91,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KISSIFLUI,HO,5484.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KISSIFLUI,HO,5556.01,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,14372.52,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,14348.57,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,12485.03,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHANYIRI-GOAYIE CHPS,BUILSA,801.19,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ACHANYIRI-GOAYIE CHPS,BUILSA,596.76,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHIANSAH CHPS,SUHUM KRA C,2978.83,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ACHIASE CHPS,UPPER DENKYIRA,1756.64,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ACHIASE HEALTH CENTRE (EASTERN),BIRIM SOUTH,40123.04,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHIATO CHPS COMPOUND,GA,30327.04,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHUBUNYOR CHPS,WEST GONJA,1855.79,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADA HEALTH CENTRE,DANGME E,11524.35,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADAA CHPS COMPOUND,TANO SOUTH,2637.11,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADAASE CHPS COMPOUND,OBUASI MUNICIPA,1527.46,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADABOKROM HEALTH CENTRE,BIA,1545.01,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADABOKROM HEALTH CENTRE,BIA,2183.39,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ADABOYA CHPS,BONGO,4727.37,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADABRAKA POLYCLINIC,OSU-KLOTTEY,44752.14,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADABRAKA POLYCLINIC,OSU-KLOTTEY,45656.77,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADADIEM HEALTH CENTRE,JAMAN N,23363.84,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADAGYA CHPS COMPOUND,BOSOMTWE ATWIMA,912.73,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADAGYA CHPS COMPOUND,BOSOMTWE ATWIMA,840.2,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ADAKLU WAYA HEALTH CENTRE,",ADAKLU-ANY,12492.64,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
"ADAKLU WAYA HEALTH CENTRE,",ADAKLU-ANY,13467.27,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADALEKPOE CHPS COMPOUND,NORTH TONGU,1732.56,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADAMROBE CHPS COMPOUND,AKUAPEM S,7580.34,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADAMSU HEALTH CENTRE,JAMAN S,34269.87,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADANKRANGYA CHPS COMPOUND,AMANSIE EAST,656.71,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADANKRONO CHPS,KWAEBIBIREM,2048.31,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADANKRONO CHPS,KWAEBIBIREM,2485.59,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADANKWAME CHPS COMPOUND,ATWIMA NWABIAGY,9642.25,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
ADANSI BONAH HEALTH CENTER,OBUASI,10920.61,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADANSI NORTH DISTRICT HOSPITAL,BEKWAI,203302.64,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADANSI NORTH DISTRICT HOSPITAL,BEKWAI,241407.78,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADANSI NORTH DISTRICT HOSPITAL,BEKWAI,205693.9,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADANSI TWEAPEASE,ADANSI SOUTH MH,1685.64,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
ADASAWASE CHPS,ATIWA,1836.94,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADAUSENA HEALTH CENTRE,BIRIM NORTH,27978.69,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADAWSO HEALTH CENTRE,AKUAPEM N,46431.52,PAYMENT OF CLAIMS FOR JUN 2025,01-Jul-2026
ADAWSO HEALTH CENTRE,AKUAPEM N,49279.8,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADAWUKWAO CHPS,AWUTU-EFF-SEN,2174.3,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADAWUKWAO CHPS,AWUTU-EFF-SEN,2565.26,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ADDO-NKWANTA CHPS,AKUAPEM N,1775.18,CLAIMS PAYMENT FOR JUN 2025,01-Jul-2026
ADDO-NKWANTA CHPS,AKUAPEM N,2155.13,CLAIMS PAYMENT FOR APR 2025,01-Jul-2026
ADDONKWANTA CHPS COMPOUND,EAST AKIM,21211.35,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADEISO HEALTH CENTRE,WEST AKIM,78774.39,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ADEISO HEALTH CENTRE,WEST AKIM,66626.25,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
ADENSU CHPS COMPOUND,MANYA KROBO,298.76,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADENSU CHPS COMPOUND,MANYA KROBO,276.71,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADENTA CHPS,SUNYANI WEST,951.82,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADENYIME CHPS COMPOUND,NORTH TONGU,698.98,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADENYIME CHPS COMPOUND,NORTH TONGU,122.88,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADIBO HEALTH CENTRE,YENDI,9839.04,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,191.53,PAYMENT OF CLAIMS FOR DEC. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,446.77,PAYMENT OF CLAIMS FOR OCT. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,514.42,PAYMENT OF CLAIMS FOR MAY 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,310.27,PAYMENT OF CLAIMS FOR MAR. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,254.47,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,336.26,PAYMENT OF CLAIMS FOR NOV. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,207.12,PAYMENT OF CLAIMS FOR JUN. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,878.1,PAYMENT OF CLAIMS FOR JAN. 2026,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,371.58,PAYMENT OF CLAIMS FOR APR. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,806.11,PAYMENT OF CLAIMS FOR JUL. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,421.49,PAYMENT OF CLAIMS FOR SEP. 2025,01-Jul-2026
ADIDAASE CHPS,AMENFIMAN,149.13,PAYMENT OF CLAIMS FOR AUG. 2025,01-Jul-2026
ADIDOME ZONGO CHPS COMPOUND,NORTH TONGU,3450.59,PAYMENT OF CLAIMS FOR AUG-24,01-Jul-2026
ADIDOME ZONGO CHPS COMPOUND,NORTH TONGU,12883.64,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADIDOME ZONGO CHPS COMPOUND,NORTH TONGU,10704.47,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADIEMBRA CHPS MPOHOR WASSA EAST,MPOHOR WASS E,3078.24,PAYMENT OF CLAIMS FOR MAR-2025,01-Jul-2026
ADIEMBRA CHPS MPOHOR WASSA EAST,MPOHOR WASS E,1908.82,PAYMENT OF CLAIMS FOR FEB-2025,01-Jul-2026
ADIEMBRA CHPS MPOHOR WASSA EAST,MPOHOR WASS E,3352.01,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ADIEMBRA CHPS(BIRIM SOUTH),BIRIM SOUTH,2357.52,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADIMPOSO II CHPS,AMANSIE WEST,3177.21,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADINA HEALTH CENTRE,KETU,14499.18,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADJAKAA MANSO HEALTH CENTRE,AMENFIMAN,16275.0,PAYMENT OF CLAIMS FOR JAN. 2026,01-Jul-2026
ADJAKAA MANSO HEALTH CENTRE,AMENFIMAN,17338.3,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADJENA HEALTH CENTRE,ASUOGYAMAN,18546.21,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADJENA HEALTH CENTRE,ASUOGYAMAN,13441.74,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADJIKPO CHPS,YILO KROBO,2064.4,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADJOUM CHPS COMPOUND,AOWIN-SU,5014.47,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
ADJOUM CHPS COMPOUND,AOWIN-SU,3492.91,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADJUAH CHPS COMPOUND,AHANTAMAN,3590.12,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADJUMAKO-MPATASE CHPS,AHANTAMAN,1264.41,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADOAGYIRI HEALTH CENTRE (AKUAPEM SOUTH),AKUAPEM SOUTH,26294.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADOAGYIRI HEALTH CENTRE (AKUAPEM SOUTH),AKUAPEM SOUTH,25645.11,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADOAGYIRI HEALTH CENTRE (AKUAPEM SOUTH),AKUAPEM SOUTH,32469.44,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADOLESCENT HEALTH CENTRE,WA MUN,7724.01,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADOM ESTATE HEALTH CENTER,CENTRAL,9070.02,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADONNIKROM CHPS COMPOUND,AOWIN-SU,2806.54,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ADROBAA HEALTH CENTER,TANO N,24171.89,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADROBAA HEALTH CENTER,TANO N,27740.0,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADROBAA HEALTH CENTER,TANO N,31500.11,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUAMOA CHPS,OKWAWUMAN HIS S,3030.76,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUBENSASO CHPS,ADANSI AKROFUOM,153.81,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ADUBIASE CHPS ZONE,BIRIM NORTH DMH,3440.96,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADUBINSU HEALTH CENTRE,KWABRE,3452.73,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADUBINSU HEALTH CENTRE,KWABRE,4416.83,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADUBINSU HEALTH CENTRE,KWABRE,7001.72,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADUHIMA CHPS COMPOUND,OKWAWUMAN S,6861.54,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
ADUHIMA CHPS COMPOUND,OKWAWUMAN S,7547.18,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADUHIMA CHPS COMPOUND,OKWAWUMAN S,8473.02,ACCRUAL OF UNVETTED CLAIMS FOR DEC-25,01-Jul-2026
ADUKROM HEALTH CENTRE,AKUAPEM N,27867.04,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUM BANSO COMMUNITY CLINIC,MPOHOR WASS E,206.68,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUM DOMINASE CHPS,MPOHOR WASS E,1559.73,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUMAN CHPS COMPOUND,KWABRE,3262.33,PAYMENT OF CLAIM FOR FEB-26,01-Jul-2026
ADUMASA CHPS COMPOUND,AMANSIE EAST,328.77,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ADUONYA CHPS COMPOUND,SUNYANI W,5962.59,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADUSUAZO CHPS COMPOUND,JOMORO,1655.55,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
ADUTOR HEALTH CENTRE,SOUTH TONGU,9383.9,PAYMENT OF CLAIMS FOR JAN.-26,01-Jul-2026
ADUTOR HEALTH CENTRE,SOUTH TONGU,15373.54,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADWESO HEALTH CENTRE,NEW JUABEN MHIS,10437.65,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADWUMAKASEKESE HEALTH CENTRE,KWABRE,5899.34,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
ADWUMAKASEKESE HEALTH CENTRE,KWABRE,8415.61,PAYMENT OF CLAIMS FOR DEC-24,01-Jul-2026
ADWUMAKASEKESE HEALTH CENTRE,KWABRE,14484.19,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
ADWUMAM CHPS COMPOUND,ASUNAFO,5354.45,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADWUMAMU CHPS,JUABOSO,758.53,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ADZOATSI CHPS COMPOUND,KETU NORTH,1365.59,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
ADZOKOE HEALTH CENTRE,SOUTH DAYI,4512.77,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ADZOKOE HEALTH CENTRE,SOUTH DAYI,4232.8,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AFAODE CHPS ZONE,NORTH TONGU,362.98,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AFAODE CHPS ZONE,NORTH TONGU,734.6,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
AFEGAME CHPS,ADAKLU-ANY,2135.33,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
AFFIENA CHPS COMPOUND,AMENFIMAN,1217.12,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AFIENYA CHPS COMPOUND,DAGME WEST,1122.94,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AFIFE HEALTH CENTRE,KETU NORTH,12817.85,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AFIFE HEALTH CENTRE,KETU NORTH,10408.13,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AFIFE HEALTH CENTRE,KETU NORTH,14491.67,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AFOFOSU CHPS COMPOUND,ASIKUMA ODOBEN,1724.88,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AFOSU HEALTH CENTRE,BIRIM NORTH DMH,11228.43,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AFOSU HEALTH CENTRE,BIRIM NORTH DMH,11456.85,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AFRANCHO HEALTH CENTER,KWABRE,218389.27,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AFRICA LIBERA CLINIC,NKORANZA,26119.87,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AFRICA LIBERA CLINIC,NKORANZA,31225.04,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGANDAA CHPS,KASENA-NANKANA,827.96,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGANDAA CHPS,KASENA-NANKANA,1347.48,ACCRUAL OF UNVETTED CLAIMS FOR NOV-25,01-Jul-2026
AGATUSI CHPS (BAWKU WEST),BAWKU WEST,5532.71,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
AGAVEDZI HEALTH CENTER,KETU,16936.42,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AGAVEDZI HEALTH CENTER,KETU,15206.61,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGAVENYA CHPS COMPOUND,NEW JUABEN,2982.29,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGBATEH CHPS COMPOUND,SOUTH DAYI,1197.44,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AGBENOXOE HEALTH CENTRE,KPANDO,2289.4,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
AGBESIA CHPS,ADAKLU,10058.51,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGBESIA CHPS,ADAKLU,7066.05,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGBEVE CHPS COMPOUND,SOUTH TONGU,278.92,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AGGRESSO CHPS,AMENFIMAN,1136.28,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AGOGO PRESBYTERIAN HOSPITAL,ASANTE AKIM NOR,937709.12,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,13222.89,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,22308.09,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,16817.17,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGOMEDA HEALTH CENTRE (AGOMEDA),DANGME WEST,21990.86,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
"AGONA AMENFI HEALTH CENTRE,",AMENFIMAN,9547.22,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGONA CAMP CHPS,AMENFIMAN,2545.74,PAYMENT OF CLAIMS FOR MAY-23,01-Jul-2026
AGONA CAMP CHPS,AMENFIMAN,1496.41,PAYMENT OF CLAIMS FOR JAN-23,01-Jul-2026
